shortnam,longname,logmort0,risk,loggdp,logmortcap250,latitude,africa,asia,neoeuro,edes1975,malfal94,campaign,slave,mortality_per1000,region,gdp_pcap_1995,loggdp_1995,gdp_pcap_2005,loggdp_2005,gdp_pcap_2015,loggdp_2015,gdp_pcap_2023,loggdp_2023,trade_openness,life_expectancy,pop_density,fdi_pct_gdp,school_enrollment_sec,gdp_growth_1995_2005,gdp_growth_1995_2015,gdp_growth_1995_2023,log_trade,log_pop_density,hci,govt_effectiveness,logmortjam,logmortjam250,logmortnaval1,logmortnaval1250,logmortnaval2,logmortnaval2250
CAN,Canada,2.778819,9.73,9.99,2.778819,0.6667,0.0,0.0,1,98.0,0.0,0,0,16.1,Neo-Europe,41617.7233238779,10.63628139695884,52356.5578038534,10.865832476912717,55660.8675272614,10.927032621147088,57517.4431587432,10.959843540063808,65.1214987304374,82.1080487804878,4.5568841808231,2.77756440541293,,0.8758324769127164,0.937032621147088,0.969843540063808,4.176254736331741,1.5166390962956284,0.797520101070404,1.7591249,2.7788193,2.7788193,2.7788193,2.7788193,2.7788193,2.7788193
CHL,Chile,4.232656,7.82,9.34,4.232656,0.3333,0.0,0.0,0,50.0,0.0,1,0,68.9,Americas/Other,14908.0347974549,9.609655594742849,20918.5275760681,9.94839053214867,27811.3745158617,10.233200371244369,29563.6780243659,10.294301793044696,63.9577465302563,81.359,26.4647249005172,3.97989457086765,105.608551025391,0.60839053214867,0.8932003712443688,0.9543017930446976,4.158222654860026,3.2758127104143298,0.651604175567627,0.964461,4.0342407,4.0342407,2.712706,2.712706,3.4177268,3.4177268
COL,Colombia,4.26268,7.32,8.81,4.26268,0.0444,0.0,0.0,0,25.0,0.14637,1,0,71.0,Americas/Other,11279.0004579347,9.330697909240564,11999.2549591305,9.392599840103552,16821.3801400631,9.730405983672211,18382.9976800475,9.81918147728189,36.3179938785373,77.913,47.1574150518251,3.25416050189283,,0.5825998401035513,0.9204059836722128,1.0091814772818903,3.5923133175858344,3.8534912618646544,0.60433030128479,-0.111099099999999,4.0342407,4.0342407,,,4.535284,4.535284
COG,Congo,5.480639,4.68,7.42,5.480639,0.0111,1.0,0.0,0,0.0,0.95,0,1,240.0,Africa,7701.32468533336,8.949147630101379,7876.11806658285,8.971590430325028,8977.70681641417,9.102499763029446,6172.28776650683,8.727824836911203,93.1881220839752,66.001,18.1050805270864,3.83980276481754,,1.551590430325028,1.6824997630294458,1.3078248369112035,4.534620268118774,2.8961925909893425,0.4192657172679901,-1.110638,5.480639,5.480639,5.480639,5.480639,5.480639,5.480639
CRI,Costa Rica,4.35799,7.05,8.79,4.35799,0.1111,0.0,0.0,0,20.0,0.0,1,0,78.1,Americas/Other,12593.2255061637,9.440914290108571,15703.9624720506,9.661668346247035,21254.7840932049,9.96433728281163,25979.6286150717,10.165067995090531,69.8533786394509,80.996,99.9906972189581,5.58692738273204,121.810760498047,0.871668346247036,1.1743372828116314,1.375067995090534,4.246398454460898,4.605077153850317,0.628635048866272,0.2868974999999999,4.130355,4.130355,,,4.535284,4.535284
CIV,Cote d'Ivoire,6.504288,7.0,7.44,5.521461,0.0889,1.0,0.0,0,0.0,0.95,1,0,668.0,Africa,4638.75732482502,8.442201791425033,4032.24588029846,8.302078790108744,5110.86240809881,8.539123437666095,6520.89886460031,8.782767508087273,51.2649845400983,62.11,98.0052012578616,3.58346670744132,65.3065056618336,0.8620787901087441,1.099123437666095,1.342767508087273,3.9370079565536544,4.585020551322006,0.3798893392086029,-0.3157177,6.504288,5.521461,6.504288,5.521461,6.504288,5.521461
DOM,Dominican Republic,4.867535,6.18,8.36,4.867535,0.2111,0.0,0.0,0,25.0,0.0,0,0,130.0,Americas/Other,8685.01648557062,9.06935457683928,12022.5080544053,9.39453584309589,17973.1870256815,9.796636316622418,23282.4895071054,10.055456833718395,51.7835143952326,73.868,235.098143035751,3.6013993607877,76.3648403372637,1.03453584309589,1.436636316622419,1.6954568337183955,3.947071843693304,5.460003056900415,0.5027669072151184,0.0746487,4.8675346,4.8675346,4.8675346,4.8675346,4.8675346,4.8675346
ECU,Ecuador,4.26268,6.55,8.47,4.26268,0.0222,0.0,0.0,0,30.000002,0.11895,1,0,71.0,Americas/Other,9525.17701832407,9.161693784423164,10660.2046228939,9.27427289292903,13881.5700738105,9.53831734537316,14343.0190134813,9.571018622921258,57.4436448205751,77.579,72.3952448059269,0.360313100049938,,0.8042728929290295,1.0683173453731598,1.1010186229212575,4.050804377124022,4.282140617758532,0.5942548513412476,-0.2196127,4.0342407,4.0342407,,,4.535284,4.535284
EGY,Egypt,4.216562,6.77,7.95,4.216562,0.3,1.0,0.0,0,0.0,0.0,1,0,67.8,Africa,8423.57817499547,9.038789978366736,10700.6090373232,9.278055938206151,13425.9119599775,9.504941847049633,16691.387399222,9.722648140775693,39.6007520873733,71.806,115.059291777588,11.9719351009449,84.8286031306453,1.328055938206151,1.5549418470496308,1.7726481407756909,3.6788481101854735,4.74544757617188,0.4943746626377105,-0.0970579,4.2165623,4.2165623,4.2165623,4.2165623,4.2165623,4.2165623
SLV,El Salvador,4.35799,5.0,7.95,4.35799,0.15,0.0,0.0,0,20.0,0.0,1,0,78.1,Americas/Other,7057.92025248354,8.861905705288347,8050.5345128919,8.993493767325292,9646.15432339854,9.174314599194547,11424.6459176917,9.343528223395206,85.6825726575292,72.302,304.518532818533,3.01317166597907,62.1425847697468,1.043493767325292,1.224314599194547,1.393528223395205,4.450649452037092,5.718731948412918,0.5461766123771667,-0.1831795,4.130355,4.130355,,,4.535284,4.535284
ETH,Ethiopia,3.258097,5.73,6.11,3.258097,0.0889,1.0,0.0,0,0.0,0.551,1,0,26.0,Africa,760.264345021167,6.633666195200462,952.115666295785,6.8586865256209135,1957.41454187301,7.579379770142119,2757.95923634026,7.92224627809183,17.4004358586815,67.603,114.037952012,2.68582028017543,,0.7486865256209132,1.469379770142119,1.8122462780918296,2.856495255256265,4.736531305377428,0.3827848434448242,-0.645991,3.2580965,3.2580965,3.2580965,3.2580965,3.2580965,3.2580965
GAB,Gabon,5.63479,7.82,8.9,5.521461,0.0111,1.0,0.0,0,0.0,0.9405,1,0,280.0,Africa,24344.1857401023,10.100048321358017,20385.2899909742,9.92256884085608,20147.7116202405,9.91084599369186,18701.4227766897,9.83635488426337,92.0468055146014,68.511,9.64329956921644,5.47750591310442,,1.0225688408560796,1.0108459936918592,0.9363548842633698,4.522297203270284,2.266263329022734,0.4576124548912048,-0.5671547,5.6347895,5.521461,5.6347895,5.521461,5.6347895,5.521461
GMB,Gambia,7.293018,8.27,7.27,5.521461,0.1476,1.0,0.0,0,0.0,0.95,1,0,1470.0,Africa,2456.00078113606,7.806289607319124,2653.64239155191,7.883688462615247,2495.95741601525,7.822427668452454,2963.59873325179,7.994159597106788,42.1706172080435,66.057,266.5854743083,9.66186336562045,,0.6136884626152472,0.5524276684524541,0.7241595971067882,3.741723703839255,5.585694921295132,0.4215706288814544,-0.5358243,7.293018,5.521461,7.293018,5.521461,7.293018,5.521461
GHA,Ghana,6.504288,6.27,7.37,5.521461,0.0889,1.0,0.0,0,0.0,0.95,1,0,668.0,Africa,3039.68873031674,8.019510397814738,3721.30785741996,8.22183046005459,5607.36635657413,8.631836433132044,6808.53775165029,8.825932655331558,68.9668717609486,65.695,148.49676310689,2.11980137105215,75.7174682617188,0.8518304600545905,1.2618364331320435,1.4559326553315577,4.23362626989649,5.000563160745191,0.4500564038753509,0.0595795999999999,6.504288,5.521461,6.504288,5.521461,6.504288,5.521461
GTM,Guatemala,4.26268,5.14,8.29,4.26268,0.17,0.0,0.0,0,20.0,0.0036,1,0,71.0,Americas/Other,8195.34591091977,9.011321700283425,9099.72328845701,9.115999284180743,10785.9584615777,9.28600042474732,12384.948508094,9.424237184312394,47.3052981448815,72.746,169.138092571855,1.63228788754296,49.5765804970836,0.825999284180746,0.9960004247473222,1.1342371843123953,3.856622300744759,5.130715497075489,0.4612700939178467,-0.9093696,4.0342407,4.0342407,,,4.535284,4.535284
